Date,VNINDEX Rm,Rf
07/2009,0.04120100827589268,-0.030927835051546282
08/2009,0.17143714114319986,0.042553191489361764
09/2009,0.06240169720911526,-0.061224489795918546
10/2009,0.010707522809433767,0.18706521739130433
11/2009,-0.14136803379206975,-0.0614412599578793
12/2009,-0.018547171308418653,0.07687804878048787
01/2010,-0.025890817955817824,0.024007972458778726
02/2010,0.031019171715495064,0.020879412545341758
03/2010,0.00468897788331879,0.0298986047317793
04/2010,0.0863913147984936,-0.007320767418377616
05/2010,-0.06440252963843873,-0.01924218021530899
06/2010,-0.0005912029008355857,-0.026015557476231632
07/2010,-0.026087470915329036,-0.018635193894755653
08/2010,-0.07861756190399072,0.0036169635590921345
09/2010,-0.0012305528698250967,-0.003694026488872959
10/2010,-0.004158232861040223,-0.003707722915536338
11/2010,-0.002297682433775927,0.03512753018062997
12/2010,0.07323014238579262,0.0013153279551034736
01/2011,0.05352205669954202,-0.004203520448375464
02/2011,-0.09641598119858996,0.015302084249406267
03/2011,-0.0005201898693023566,0.025119099177133064
04/2011,0.04109470214473143,0.01225179552175737
05/2011,-0.12229211798033657,0.033138564273789584
06/2011,0.026508769015354705,-0.033691524602084466
07/2011,-0.06205206454894352,-0.0005016722408026641
08/2011,0.04685728370717279,-0.0009201940772963768
09/2011,0.006804643168279556,-0.0010047726701833959
10/2011,-0.015879326473339672,0.0038555024725506204
11/2011,-0.0953399396402177,-0.003256241128830273
12/2011,-0.0765452205206335,0.004774669123806197
01/2012,0.10359835016356134,0.0012505210504376585
02/2012,0.09194009846122109,-0.04754371357202325
03/2012,0.041049003871211465,-0.006731357636156954
04/2012,0.0742353127905131,-0.0483189579299419
05/2012,-0.09407518416109084,-0.09729029871451045
06/2012,-0.01591332712022364,0.015162380903596118
07/2012,-0.018680303998863557,0.019679079624583595
08/2012,-0.044537734028179954,-0.011975455265241353
09/2012,-0.008711681228220747,-0.010818391265150828
10/2012,-0.010571363069006745,0.019746835443037902
11/2012,-0.02729004685649561,-0.009731876861966304
12/2012,0.09504525964745114,-0.013738467709586755
01/2013,0.15966934957581036,-0.010879511947127662
02/2013,-0.010900602346860078,-0.04286595394736836
03/2013,0.03472690492245456,0.0016109977446032708
04/2013,-0.03366324535679377,-0.012438344413467695
05/2013,0.09247434195275117,-0.0297502714440826
06/2013,-0.07187638650436923,-0.004140555058191664
07/2013,0.022280880427327343,0.003034048769524844
08/2013,-0.038934634543051794,-0.01265964597804159
09/2013,0.04216204781045052,0.013275842505389601
10/2013,0.009703022552422835,-0.008510638297872353
11/2013,0.02084799260167647,0.0054212785181839696
12/2013,-0.006203473945409432,0.005055043810379578
01/2014,0.10282781443830125,-0.011288700122946138
02/2014,0.053834543232947674,-0.020348179968347258
03/2014,0.008678897831128074,-0.01973228709900776
04/2014,-0.022938959041195583,-0.0034137728075338547
05/2014,-0.02764705882352947,0.026931254429482854
06/2014,0.02866446033948966,-0.01345755693581796
07/2014,0.03103108297441759,-0.017605223271540127
08/2014,0.06807925243679414,-0.046047946831236586
09/2014,-0.05945181811042177,-0.17143568051754166
10/2014,0.003406813627254701,-0.0537537537537538
11/2014,-0.057020171759536664,0.09377975245953674
12/2014,-0.03697624342546513,0.037284201363702474
01/2015,0.0557887212946504,-0.07062937062937069
02/2015,0.028642352491884626,-0.031903686982693746
03/2015,-0.06993266618289828,0.006684284159801157
04/2015,0.020448895904777498,0.0026250772081533036
05/2015,0.012731152204836338,0.0069305405821653565
06/2015,0.04124236252545832,0.037779137350871794
07/2015,0.04723041902031877,-0.0013264554163596731
08/2015,-0.09066756835088385,0.03335301062573781
09/2015,-0.003736166445329814,0.005569837189374649
10/2015,0.07950021328025025,0.0029825308904984915
11/2015,-0.05625895253305224,-0.00028320589068264734
12/2015,0.010170969993021473,-0.001133144475920722
01/2016,-0.058338946168592254,-0.0021270561542824362
02/2016,0.02589637780834475,-0.024726445928662688
03/2016,0.003307292132220141,0.0007285443683520132
04/2016,0.06619507501514543,0.010920209668025427
05/2016,0.03354112004278287,0.0
06/2016,0.022346549382316727,-0.006337318162177641
07/2016,0.0315851073925284,0.003188867951877228
08/2016,0.03434371310733941,-0.012425950007224462
09/2016,0.016453463379926703,-0.09027066569129483
10/2016,-0.01448091814562591,-0.039723383724670325
11/2016,-0.01587747854394772,0.01256071009881099
12/2016,-0.0003007202249387664,0.008104531921931724
01/2017,0.04874637147111471,-0.013945857260049266
02/2017,0.019375286828820615,-0.02129783693843601
03/2017,0.01620731861731306,-0.009520571234274078
04/2017,-0.006340767814373205,-0.00566426364572592
05/2017,0.027991027266520918,-0.021059899879164456
06/2017,0.05238405031037385,-0.00652442250044083
07/2017,0.009118188725900422,-0.06549520766773176
08/2017,-0.0010082317656817663,0.04482431149097832
09/2017,0.027671316878736807,-0.024540992546809748
10/2017,0.040849307575644644,-0.009504286246738602
11/2017,0.13454280527422124,0.013546566321730902
12/2017,0.036118450833219296,-0.062001113792463314
01/2018,0.12813947817605453,-0.188996635661983
02/2018,0.010068806513203077,0.05100048804294799
03/2018,0.04718512045936851,-0.025771999071279472
04/2018,-0.10575072799414198,0.11582459485224028
05/2018,-0.0752289909165349,-0.005126014523707867
06/2018,-0.01077992277992279,0.018248175182481674
07/2018,-0.004569204188263676,0.03795066413662229
08/2018,0.034661592028356614,0.05057891529555136
09/2018,0.027881641975059157,-0.02784222737819031
10/2018,-0.10064593513120246,0.030827366746221108
11/2018,0.012877694695876407,-0.003279953694771298
12/2018,-0.036695663436009274,0.0
01/2019,0.02029040715262065,-0.0551684088269454
