Date,VNINDEX Rm,Rf
06/2020,-0.04553078765023655,-0.03591862682771774
07/2020,-0.03238356097974815,-0.022090339597757858
08/2020,0.10428487330753144,-0.031355360755225936
09/2020,0.026722622355810133,-0.045248868778280604
10/2020,0.022381546823388998,-0.06161137440758291
11/2020,0.08386009270965022,-0.05944055944055948
12/2020,0.10048051999840468,0.01239157372986388
01/2021,-0.04281301240182267,-0.059975520195838516
02/2021,0.10586687614162282,0.02213541666666674
03/2021,0.019658185490427638,0.013163481953290868
04/2021,0.04024541731014564,-0.030595138306789615
05/2021,0.07153519069865011,-0.017293558149589328
06/2021,0.06061518768118668,-0.04355477342718883
07/2021,-0.0699300699300699,-0.00965961361545531
08/2021,0.01635052097248213,-0.026939154667905196
09/2021,0.00795361517721016,0.01766109785202863
10/2021,0.022852927588930427,0.0
